File,Mean,Std,Min,Max
018_001.csv,0.5988102896169307,4.039323390031686,-7.896479099890236,11.26420181233893
018_002.csv,6.3706362237077725,7.71388430645709,-6.161454082126017,35.3765668281026
018_003.csv,-1.1290102036812844,6.085415521236729,-20.52372120653654,10.590783366365615
018_004.csv,0.7543330043574532,3.9451779951209263,-8.122065767776437,10.77677572809404
018_005.csv,0.6644192528372771,3.7385776551346894,-7.5764461412009245,10.862143069714476
018_006.csv,0.6745135942184735,3.954120207602859,-7.925481298668227,11.628179407002722
018_007.csv,0.8494624230383019,4.218157636279941,-8.661506665047073,9.613850605354807
018_008.csv,0.35170966458069924,4.380265939368438,-9.998192787421402,9.4555364289819
018_009.csv,-7.921049636598433,14.182262488837875,-48.83768519787437,11.18930048158186
018_010.csv,-8.026374904356201,11.164306303759558,-41.82457524380681,8.650094930310516
018_011.csv,0.7258452793664801,3.291815801013768,-6.722520531963722,8.366125575319055
018_012.csv,11.541176593564241,34.569263208384506,-52.14929496051347,73.5065771888844
018_013.csv,15.047360216357141,15.568643686605757,-5.944252832582149,55.78516191514216
018_014.csv,-5.812359028813413,17.81177003139377,-44.17060093191346,29.69862983821227
018_015.csv,-4.603601920490093,12.320906584128142,-46.99364974165983,12.308091823571974
018_016.csv,-1.198111094682759,4.840172185503943,-18.98673076781943,10.005758578406969
018_017.csv,-1.252266080833545,4.974890285524811,-18.7120925550435,8.867107035079744
018_018.csv,0.3592325827506773,3.2975477523562318,-7.414664310626303,9.061673959925136
018_019.csv,4.701673801381745,7.635497950717194,-12.175942674357476,27.81657628229528
018_020.csv,-3.2382802249592824,7.403605556237798,-33.55434606922977,8.81862292451393
018_021.csv,-3.650261187220013,8.011713084190347,-34.150404302375705,6.966265098215274
018_022.csv,-3.2560960865238275,9.192854414984243,-30.236683673802226,11.523141008819824
018_023.csv,-0.5821390691802429,3.4427924676291792,-12.033075321246764,7.088578719148542
018_024.csv,3.878845799784244,7.324286369721914,-15.501233909028809,32.5591923615954
018_025.csv,-0.8175757664470648,4.481217779506206,-17.44608353012597,9.160218387512096
018_026.csv,0.732644403532173,4.222066943753024,-9.966857803089528,11.62111800208286
018_027.csv,1.0014765022092695,4.355730479912181,-9.507992579815136,10.274470254910876
018_028.csv,0.5758972916171534,4.204231899052616,-9.197984294181698,10.393190125126
018_029.csv,-1.2228360996235785,5.747655806408835,-21.26352946840817,10.17346694525361
018_030.csv,0.3654800346570059,4.4757416221858835,-8.091802603834186,11.38922650837536
018_031.csv,-2.2499209128712323,5.583112035681212,-20.236977728183703,10.288088678684888
018_032.csv,-0.5955226381924126,3.886979326749521,-19.025190205329377,8.559368486741974
018_033.csv,1.0096169780684443,3.2263593937729707,-6.193230404265383,9.019305530405989
018_034.csv,0.7027147648758679,6.931638419012265,-24.908286227444894,18.368920885590004
018_035.csv,0.5139750752958137,3.296262960190445,-6.552164138272129,10.61020222989523
018_036.csv,-2.4791256050549877,6.249770185513838,-22.02212611122728,11.489410190675851
018_037.csv,0.7077419177444836,4.589395271840468,-10.14616704944737,13.968656848386612
